Intersection Name,Nr Phase,Manual Street Name,Bee Hive Street Name
TerminaliDoganor,2,TahirZajmi_TerminaliDoganor_DeshmoretEPonoshecit,DeshmoretEPonoshecit_TerminaliDoganor_TreguIMadh
TerminaliDoganor,3,DeshmoretEPonoshecit_TerminaliDoganor_TreguIMadh,TahirZajmi_TerminaliDoganor_DeshmoretEPonoshecit
TreguIMadh,1,ElezBerisha_TreguIMadh_TerminaliDoganor,KlanKosova_TreguIMadh_ElezBerisha
TreguIMadh,2,TerminaliDoganor_TreguIMadh_KlanKosova,ElezBerisha_TreguIMadh_TerminaliDoganor
TreguIMadh,3,KlanKosova_TreguIMadh_ElezBerisha,TerminaliDoganor_TreguIMadh_KlanKosova
ElezBerisha,1,RrugaEUglarit_ElezBerisha_TreguIMadh,Interex_ElezBerisha_RrugaEUglarit
ElezBerisha,2,TreguIMadh_ElezBerisha_Interex,RrugaEUglarit_ElezBerisha_TreguIMadh
ElezBerisha,3,Interex_ElezBerisha_RrugaEUglarit,TreguIMadh_ElezBerisha_Interex
RrugaEUglarit,1,HajrullahZymi_RrugaEUglarit_ElezBerisha,HajrullahZymi_RrugaEUglarit_ElezBerisha
RrugaEUglarit,2,ElezBerisha_RrugaEUglarit_KompleksiLinda3,KompleksiLinda3_RrugaEUglarit_HajrullahZymi
RrugaEUglarit,3,KompleksiLinda3_RrugaEUglarit_HajrullahZymi,ElezBerisha_RrugaEUglarit_KompleksiLinda3
HajrullahZymi,1,RrugaEUglarit_HajrullahZymi_RrethiRrugaEPejes,Dardania_HajrullahZymi_RrugaEUglarit
HajrullahZymi,2,RrethiRrugaEPejes_HajrullahZymi_Dardania,RrugaEUglarit_HajrullahZymi_RrethiRrugaEPejes
HajrullahZymi,3,Dardania_HajrullahZymi_RrugaEUglarit,RrethiRrugaEPejes_HajrullahZymi_Dardania
